[run number],1,2,3,4,5,6,7,8,9,10
,0,0,43.934,85.68805055,40.506,0,26.76,0,20.108,44.64643151
,0,0,43.934,85.68805055,40.506,0,26.76,0,20.108,44.64643151
,0,0,43.934,85.68805055,40.506,0,26.76,0,20.108,44.64643151
,0,88.91379832,43.934,85.68805055,40.506,0,26.76,0,20.108,44.64643151
,0,88.91379832,43.934,85.68805055,40.506,0,26.76,0,20.108,44.64643151
,0,88.91379832,43.934,85.68805055,40.506,0,26.76,0,20.108,44.64643151
,0,88.91379832,43.934,85.68805055,40.506,0,26.76,0,20.108,44.64643151
,0,88.91379832,43.934,85.68805055,40.506,0,26.76,0,20.108,44.64643151
,0,88.91379832,43.934,85.68805055,40.506,0,26.76,0,20.108,44.64643151
,0,88.91379832,43.934,85.68805055,40.506,0,26.76,0,20.108,44.64643151
,0,88.91379832,43.934,85.68805055,40.506,78.31649959,26.76,0,20.108,44.64643151
,0,88.91379832,43.934,85.68805055,40.506,78.31649959,26.76,0,20.108,44.64643151
,0,88.91379832,43.934,85.68805055,40.506,78.31649959,26.76,0,20.108,44.64643151
,0,88.91379832,43.934,85.68805055,40.506,78.31649959,26.76,0,20.108,44.64643151
,0,88.91379832,43.934,85.68805055,40.506,78.31649959,26.76,0,20.108,44.64643151
,0,88.91379832,43.934,85.68805055,40.506,78.31649959,26.76,0,20.108,44.64643151
,0,88.91379832,43.934,85.68805055,40.506,78.31649959,26.76,0,20.108,44.64643151
,0,88.91379832,43.934,85.68805055,40.506,78.31649959,26.76,0,20.108,44.64643151
,0,88.91379832,43.934,85.68805055,40.506,78.31649959,26.76,0,20.108,44.64643151
,0,88.91379832,43.934,85.68805055,40.506,78.31649959,26.76,0,20.108,44.64643151
,0,88.91379832,43.934,85.68805055,40.506,78.31649959,37.176,0,20.108,44.64643151
,0,88.91379832,43.934,85.68805055,40.506,78.31649959,37.176,0,20.108,44.64643151
,0,88.91379832,43.934,85.68805055,40.506,78.31649959,37.176,0,20.108,44.64643151
,0,88.91379832,43.934,85.68805055,40.506,78.31649959,37.176,0,20.108,44.64643151
,0,88.91379832,43.934,85.68805055,40.506,78.31649959,37.176,0,20.108,44.64643151
,0,88.91379832,43.934,85.68805055,40.506,78.31649959,37.176,0,20.108,44.64643151
,0,88.91379832,43.934,85.68805055,40.506,78.31649959,37.176,0,20.108,44.64643151
,0,88.91379832,43.934,85.68805055,40.506,78.31649959,37.176,0,20.108,44.64643151
,0,88.91379832,43.934,85.68805055,40.506,78.31649959,37.176,0,20.108,44.64643151
,0,88.91379832,43.934,85.68805055,40.506,78.31649959,37.176,0,20.108,44.64643151
,0,88.91379832,43.934,85.68805055,40.506,78.31649959,37.176,0,20.108,44.64643151
,0,88.91379832,43.934,85.68805055,40.506,78.31649959,37.176,0,20.108,44.64643151
,0,88.91379832,43.934,85.68805055,40.506,78.31649959,37.176,0,20.108,44.64643151
,0,88.91379832,43.934,85.68805055,40.506,78.31649959,37.176,0,20.108,44.64643151
,0,88.91379832,43.934,85.68805055,40.506,78.31649959,37.176,0,20.108,44.64643151
